ilmenite_head_grade;rego_heat
1;0.30329339983645354
2;0.3048883001430903
3;0.30648320044972693
4;0.3080781007563637
5;0.30967300106300055
6;0.31126790136963717
7;0.31286280167627395
8;0.31445770198291056
9;0.3160526022895474
10;0.3176475025961842
11;0.31924240290282085
12;0.3208373032094576
13;0.32243220351609425
14;0.3240271038227311
15;0.32562200412936776
16;0.3272169044360045
17;0.3288118047426412
18;0.33040670504927794
19;0.3320016053559146
20;0.33359650566255145
21;0.335191405969188
22;0.3367863062758249
23;0.3383812065824615
24;0.3399761068890983
25;0.34157100719573513
26;0.34316590750237175
27;0.34476080780900853
28;0.3463557081156452
29;0.347950608422282
30;0.34954550872891876
31;0.3511404090355555
32;0.35273530934219216
33;0.3543302096488289
34;0.35592510995546567
35;0.35752001026210234
36;0.359114910568739
37;0.36070981087537585
38;0.3623047111820125
39;0.36389961148864924
40;0.36549451179528597
41;0.3670894121019227
42;0.3686843124085595
43;0.37027921271519615
44;0.37187411302183293
45;0.3734690133284696
46;0.3750639136351063
47;0.37665881394174305
48;0.3782537142483798
49;0.37984861455501656
50;0.3814435148616533
51;0.3830384151682899
52;0.3846333154749268
53;0.38622821578156347
54;0.38782311608820014
55;0.3894180163948369
56;0.3910129167014736
57;0.3926078170081103
58;0.39420271731474715
59;0.3957976176213838
60;0.3973925179280206
61;0.3989874182346573
62;0.4005823185412941
63;0.4021772188479308
64;0.4037721191545675
65;0.4053670194612042
66;0.40696191976784096
67;0.4085568200744777
68;0.41015172038111436
69;0.41174662068775114
70;0.41334152099438787
71;0.41493642130102454
72;0.4165313216076613
73;0.418126221914298
74;0.4197211222209348
75;0.4213160225275715
76;0.42291092283420817
77;0.4245058231408449
78;0.4261007234474817
79;0.4276956237541184
80;0.4292905240607551
81;0.43088542436739186
82;0.43248032467402864
83;0.43407522498066536
84;0.43567012528730203
85;0.4372650255939388
86;0.43885992590057554
87;0.44045482620721227
88;0.442049726513849
89;0.4436446268204858
90;0.44523952712712245
91;0.44683442743375906
92;0.44842932774039596
93;0.4500242280470326
94;0.4516191283536693
95;0.45321402866030613
96;0.45480892896694275
97;0.45640382927357964
98;0.45799872958021626
